Tool	No. sig. genera	Max overlap	Mean exp.	Mean obs.	Fold diff.	P
ALDEx2	57	3	1.141	1.544	1.353	< 0.001
limma voom (TMM)	76	4	1.224	1.618	1.322	< 0.001
MaAsLin2 (rare)	74	3	1.207	1.595	1.321	< 0.001
ANCOM-II	15	3	1.035	1.333	1.288	< 0.001
MaAsLin2	79	3	1.213	1.557	1.284	< 0.001
Wilcoxon (rare)	88	4	1.267	1.625	1.283	< 0.001
metagenomeSeq	66	3	1.163	1.485	1.277	< 0.001
Wilcoxon (CLR)	82	3	1.219	1.549	1.271	< 0.001
limma voom (TMMwsp)	85	4	1.235	1.565	1.267	< 0.001
t-test (rare)	62	3	1.145	1.403	1.225	< 0.001
corncob	87	5	1.272	1.552	1.22	< 0.001
DESeq2	82	4	1.246	1.512	1.213	< 0.001
LEfSe	117	5	1.402	1.615	1.152	< 0.001
edgeR	138	5	1.513	1.667	1.102	0.002
