	S5-MALL-013	S2-MALL-018	S1-MALL-018	S1-MALL-014	S7-MALL-016	S2-MALL-016	S5-MALL-010	S1-MALL-007	S2-MALL-011	S1-MALL-017	S3-MALL-008	S4-MALL-010	S1-MALL-005	S5-MALL-016	S3-MALL-012	S3-MALL-013	S6-MALL-016	S1-MALL-010	S2-MALL-013	S1-MALL-015	S3-MALL-010	S2-MALL-017	S6-MALL-013	S3-MALL-016	S4-MALL-016	S1-MALL-008	S6-MALL-010	S2-MALL-010	S1-MALL-016	S1-MALL-012	S1-MALL-004	S4-MALL-013	S1-MALL-006	S2-MALL-008	S3-MALL-014	S4-MALL-015
Groupings	Y	No	No	No	No	No	No	Y	Y	No	Y	No	No	No	Y	Y	No	No	Y	Y	No	No	Y	No	No	Y	No	No	No	Y	Y	Y	Y	Y	No	Y
5e594a29e3393825499e1a9a0c210ea0	451	  0	  0	  0	  0	  0	  0	  0	 43	  0	  0	  4	  0	  3	 17	 69	  0	  0	  0	  7	  0	  0	202	  0	  0	  0	  4	  8	  0	  0	  0	303	  9	  0	  3	  0
954ce9a7ede67cd652c46b8d2b76f22a	385	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  2	  0	  4	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0
446ddc82ac37f88765f4d87637baece7	320	  0	  0	  0	  0	  0	  0	  0	 27	  3	  0	  3	  0	  1	 46	 90	  0	  0	  0	  4	  0	 24	241	  0	  1	  0	  0	 19	  0	  0	  0	405	 17	  0	  2	  0
7ffa9ff02ae5f830ea8b4ea9c4908d28	206	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  8	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0
02bddf815fc6ec58e0ce1a8f1ce8612b	186	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0
43c8f5eb141cce9f341c81482c3902a2	173	  0	  1	  0	  1	  0	  0	  0	  0	  0	  0	  0	  0	  3	  6	 24	  0	  0	  0	  0	  0	 12	 65	  0	  0	  0	  1	  5	  0	  0	  0	131	  8	  0	  2	  0
00e9a919faaf13cf808e66c5b6892f58	162	  0	  4	  0	  0	  0	  0	  0	 22	  0	  0	  0	  0	  0	  6	114	  0	  0	  0	  2	  1	  0	 34	  0	  0	  0	  0	  7	  0	  0	  0	180	  7	  0	  0	  0
fc804131c275b60a86bf3623aa9639cf	 53	  0	  0	  0	  0	  0	  0	  0	  0	  0	277	  2	  0	  0	  7	  0	  0	  0	  0	  5	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0
208bee72dd6f71715fe9a85a6740f90f	28	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
2cd291fafb8383e84da700a1ba9025fd	22	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
29185a5589c790f5f3420ca8934bc9f2	 17	  0	  0	  0	  0	  0	  0	  0	  0	  0	268	  1	  0	  0	  0	  0	  0	  0	  0	  7	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0
1b9cebbc4841c2e62e30bee82e0a2e0a	13	 0	 0	 0	10	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 2	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0
