	taxa_id	W	detected_0.9	detected_0.8	detected_0.7	detected_0.6
1	5e594a29e3393825499e1a9a0c210ea0	36	FALSE	FALSE	FALSE	FALSE
2	446ddc82ac37f88765f4d87637baece7	1	FALSE	FALSE	FALSE	FALSE
3	43c8f5eb141cce9f341c81482c3902a2	2	FALSE	FALSE	FALSE	FALSE
4	00e9a919faaf13cf808e66c5b6892f58	217	FALSE	FALSE	FALSE	FALSE
5	fc804131c275b60a86bf3623aa9639cf	172	FALSE	FALSE	FALSE	FALSE
6	29185a5589c790f5f3420ca8934bc9f2	19	FALSE	FALSE	FALSE	FALSE
7	f6ec1017b7678f147c32150fe0305a32	239	FALSE	FALSE	FALSE	TRUE
8	dff15d2cae8efc6c875d7d08cfc197fe	0	FALSE	FALSE	FALSE	FALSE
9	052c54e9e757c91519c3123cc36636ee	0	FALSE	FALSE	FALSE	FALSE
10	b30870ec90cb1da81c6a257b94cb3fdc	1	FALSE	FALSE	FALSE	FALSE
11	06215e92a88b4c0bc04db4407f457b81	246	FALSE	FALSE	FALSE	TRUE
12	956f202ac5c3595c5435540cfc374fb9	1	FALSE	FALSE	FALSE	FALSE
13	d328821148aadec372ae2badf830a0af	0	FALSE	FALSE	FALSE	FALSE
14	f70a02fcbd4f653788850f5a8dfd6de2	1	FALSE	FALSE	FALSE	FALSE
15	068db80412ea0132c5d3ef84cdad981e	0	FALSE	FALSE	FALSE	FALSE
16	81230f14fc1bae46d60183250ea7f53c	4	FALSE	FALSE	FALSE	FALSE
17	34bc020ac1533729b15487fed53e6831	0	FALSE	FALSE	FALSE	FALSE
18	6b9d9a81f75a4488d941bba2bea4e276	9	FALSE	FALSE	FALSE	FALSE
19	ce35522e0736a1fccf9e21ae14c3ee06	2	FALSE	FALSE	FALSE	FALSE
20	4f4a73c8c152cda310d91a8b1ad625c8	274	FALSE	FALSE	TRUE	TRUE
21	21ac9338cd769064dfe183a59386d345	1	FALSE	FALSE	FALSE	FALSE
22	34894de27388b21d384875822b942a01	365	TRUE	TRUE	TRUE	TRUE
23	db24f9290c4d474b646c28f7ab3a75ae	0	FALSE	FALSE	FALSE	FALSE
24	86ed6e55634658f35f80a2014b67cf29	0	FALSE	FALSE	FALSE	FALSE
25	031bc6bd8ff9a25f61b6ec8846a11de7	196	FALSE	FALSE	FALSE	FALSE
26	7aeb68c9d93691468cd1c410902e9756	1	FALSE	FALSE	FALSE	FALSE
27	18518dc6b55902c96a5628b6a1683284	3	FALSE	FALSE	FALSE	FALSE
28	4cfd39842c1be76ac658ee44d2feee41	329	FALSE	TRUE	TRUE	TRUE
29	0ce35e7f3795a53326b6e649d4770275	5	FALSE	FALSE	FALSE	FALSE
30	550044eb2e41142ec4f5765aa5aaf1c0	4	FALSE	FALSE	FALSE	FALSE
31	2123f462a1d5203b292e6711733097a1	0	FALSE	FALSE	FALSE	FALSE
32	c53af32783105c989d18c3f24dca28a6	226	FALSE	FALSE	FALSE	FALSE
33	44e3b34b921ccfd44a1871dbd08f8005	2	FALSE	FALSE	FALSE	FALSE
34	ec47fbbb5cef20382f9ea775fae4826d	306	FALSE	FALSE	TRUE	TRUE
35	87d8b4672ebd6a23672f1318b578cc39	11	FALSE	FALSE	FALSE	FALSE
36	c129613f8c0f4442385abbf5b107a4f0	3	FALSE	FALSE	FALSE	FALSE
37	777bb4ed8c93d56694eccd2578cd7c38	1	FALSE	FALSE	FALSE	FALSE
38	bd771cde53dcc057f164d069b98411d4	0	FALSE	FALSE	FALSE	FALSE
39	cabd85d7a0e32cf85fcbf76924899950	3	FALSE	FALSE	FALSE	FALSE
40	208091cda60ecd05d2e67b9f4a828751	1	FALSE	FALSE	FALSE	FALSE
41	3b5843d7e49fc64337225bb1d6c01b4a	5	FALSE	FALSE	FALSE	FALSE
42	b0dd03184feca9136ec8da1c0b8506c6	15	FALSE	FALSE	FALSE	FALSE
43	2a757b79c4a18465a1d84542326f6961	17	FALSE	FALSE	FALSE	FALSE
44	f31989a8812397b237ecbcc3bc6b21cd	2	FALSE	FALSE	FALSE	FALSE
45	01f50de7cf19e25aae110d43705c3abb	0	FALSE	FALSE	FALSE	FALSE
46	b37db5bd4cdf794171760d28d5600886	6	FALSE	FALSE	FALSE	FALSE
47	f6ea171d5bb51e45e8fcd2ad4ae8df7c	24	FALSE	FALSE	FALSE	FALSE
48	d297fe4d3e4aaf5983649f10278d629f	333	FALSE	TRUE	TRUE	TRUE
49	f6a0e0aa9c7bbb23ea4e71a6462c1c10	97	FALSE	FALSE	FALSE	FALSE
50	0e7cff1baf52922dc32b72476f20c2ee	349	FALSE	TRUE	TRUE	TRUE
51	b520a210fe1759dc0e0e6be52a44c5e1	19	FALSE	FALSE	FALSE	FALSE
