	+samples in group 0	+samples in group 1	counts in group 0	counts in group 1	oddsRatio	lower	upper	fisherP	fisherAdjP	logFC	se	pvalues	adjPvalues
2b9ca544156abee649d475e44e7906c8	8	2	7548	248	4.4757522501046	0.69995778464352	51.2647481683283	0.132627723284008	0.723611360715339	-4.30192175045755	1.68755514363047	0.0107969227376232	0.257331113682035
48aca1c6d47ec52df6f1fe672450738c	2	5	4	114	0.254521202921905	0.0208174170832218	1.88713577532949	0.203553562187338	0.728820598006644	4.1004816995618	1.58948280095417	0.00988694423926817	0.25392566546218
f1a48e851b5eb6c782048f454e3806c8	8	2	10154	490	4.4757522501046	0.69995778464352	51.2647481683283	0.132627723284008	0.723611360715339	-3.89030743783566	1.70326222077862	0.0223695806302691	0.373891561963069
5e594a29e3393825499e1a9a0c210ea0	6	8	84	4861	0.43915339382676	0.0875760674999943	2.05404276205421	0.307418333843831	0.814690026954178	3.85469729465275	1.02628316084874	0.000172665646483106	0.0227271157183388
f6ea171d5bb51e45e8fcd2ad4ae8df7c	10	3	4450	6	4.15564163348548	0.784662091535256	29.8570247539488	0.0827138913901984	0.637139834057103	-3.82304993585563	1.32617601557619	0.00394205052769458	0.178820550316403
b31c3c4f1650e06ad1f88477746f6305	2	6	9	1134	0.194535616053194	0.0162731813557262	1.35195966996282	0.103418533962275	0.637139834057103	3.65891724451866	1.69467653687976	0.0308451040389759	0.434057790452024
b3fc533b3745b18d0c2343e77861acb5	4	7	12	221	0.33230877831409	0.0548145185335044	1.73787517633268	0.159312816709925	0.728820598006644	3.60919458220177	1.10836636404216	0.00112866818972801	0.0914221233679688
00e9a919faaf13cf808e66c5b6892f58	7	9	49	2334	0.429422470958441	0.0880614900063941	1.95114701734366	0.312765429881066	0.814690026954178	3.55160506484276	0.942675394417063	0.000164837653257255	0.0227271157183388
0ce35e7f3795a53326b6e649d4770275	2	3	8	442	0.491508215839388	0.0361614977141642	4.94351236390639	0.637127578304049	0.965317035905271	3.5177474517081	1.68290755491505	0.036592684246048	0.458715434655816
0f8cd40e2436fc69a17ab512e53883d9	2	4	9	509	0.343883178981412	0.027041674615398	2.8412958915787	0.373752433524729	0.814690026954178	3.51457096050759	1.58746288501824	0.0268318933443863	0.415499760171158
446ddc82ac37f88765f4d87637baece7	10	8	142	5068	1	0.221625362397493	4.51211896139605	1	1	3.36742846665578	0.826892792517226	4.65335340629203e-05	0.0122499528420638
208091cda60ecd05d2e67b9f4a828751	8	3	7084	927	2.8055044568273	0.5131311688004	20.3174613482408	0.276727227783957	0.814690026954178	-3.35511291817068	1.31946004869367	0.0109970561402579	0.257331113682035
d9cf4df439a8a5814c4089e78066d745	9	12	114	1687	0.28319611282122	0.0485899364864152	1.37274575635893	0.0958477750372126	0.637139834057103	3.33861382864857	0.81536372396156	4.22840726850282e-05	0.0122499528420638
2b966bab3a4f89aae806e3898aad2d4c	2	2	22	408	0.783280609930878	0.0507961533627122	12.0700774055376	1	1	3.2549173437628	1.86757962222045	0.0813592398496421	0.519633837387887
6f9cb560f55fc7b4bd33db2e3c6ec9f7	2	6	6	744	0.194535616053194	0.0162731813557262	1.35195966996282	0.103418533962275	0.637139834057103	3.237344359681	1.66183797548877	0.0514089165118827	0.474577832467505
0866c04dbee92ab8cb097550a8ca2a04	3	2	55	565	1.22813439290493	0.122088254312132	16.6474698491683	1	1	3.15226839050268	1.77775758214685	0.076200357173615	0.519633837387887
badbc22e618a7a08ea347da8375334e9	6	12	60	932	0.152066781056267	0.0244605968086268	0.761373762964833	0.0175920837235342	0.533356710791619	3.11685239469135	0.942979609270909	0.000948669297189175	0.0832457308283501
bb75c7bc3c852baf4ecc025ad23f7d56	11	2	792	18	8.03335880125737	1.30239906603868	91.5054454962112	0.0139537758002719	0.506666410954701	-3.07191287266023	1.31029560596039	0.019055542008751	0.334424762253581
4f4a73c8c152cda310d91a8b1ad625c8	11	12	238	2766	0.417773743855833	0.0720153406575581	2.05744716601932	0.301350707134912	0.814690026954178	3.05683089614654	0.801789392992159	0.00013756209413196	0.0227271157183388
34894de27388b21d384875822b942a01	3	13	30	853	0.046521858905285	0.00486736544754994	0.293940756604057	0.000125129447565004	0.04693194199864	3.0557265722975	1.24004705334253	0.0137318653379641	0.289193084017524
792b0150a74e97ceed7d14aee80f06ed	3	5	15	143	0.398902219024437	0.0512309707273443	2.53770060084206	0.421680655273536	0.814690026954178	2.74817702543051	1.29150152021327	0.0333459573191448	0.438916163213243
0193213bf09f4fa5cb0f0959f6d99e41	2	3	5	355	0.491508215839388	0.0361614977141642	4.94351236390639	0.637127578304049	0.965317035905271	2.72680581887956	1.71648315717003	0.112150639315336	0.519633837387887
43c8f5eb141cce9f341c81482c3902a2	8	8	55	1937	0.674304093439419	0.145165363410627	3.04814182431585	0.737069509280178	1	2.67662101434629	0.920835539058556	0.00365227368167709	0.178820550316403
d0e71d60e80c784c12de2ea20ce001c5	7	11	115	1109	0.25533713237625	0.0473737906617972	1.19718802717283	0.092215182731215	0.637139834057103	2.60909449537701	0.928524484042958	0.00495513323651431	0.178820550316403
5420d66e334c358653902cebf8003c4f	6	6	35	370	0.721070781133812	0.142639655757926	3.60186597344556	0.729477196885428	1	2.53578439135279	1.0110045081587	0.0121353776193853	0.277794622461147
