dataset	filt_nonrare_R2	filt_nonrare_P	filt_rare_R2	filt_rare_P	unfilt_nonrare_R2	unfilt_nonrare_P	unfilt_rare_R2	unfilt_rare_P
ArcticFireSoils	0.0696659963457443	0.001	0.0688600113258021	0.001	0.0542323195067593	0.001	0.0550757134646529	0.001
ArcticFreshwaters	0.0405820504645526	0.001	0.0363953085956932	0.001	0.0502799463570677	0.001	0.0504909980060341	0.001
ArcticTransects	0.114453368766791	0.001	0.0912421942522724	0.001	0.0687747984673482	0.001	0.0569505530217616	0.001
art_scher	0.0264215838181628	0.103	0.0279898976875674	0.049	0.0191558400778249	0.045	0.0206054315940519	0.02
asd_son	0.00973376364571379	0.939	0.00955744261502291	0.952	0.00869260971347566	0.905	0.00862310853453559	0.931
BISCUIT	0.0356368212959645	0.053	0.0368513711909307	0.035	0.0315558558761565	0.055	0.0322196272722851	0.05
Blueberry	0.0430503334549609	0.003	0.0434201165143512	0.001	0.0340809556081408	0.007	0.0341482894423532	0.002
cdi_schubert	0.104582541742789	0.001	0.103174196252833	0.001	0.0883539564282318	0.001	0.0833398723977644	0.001
cdi_vincent	0.0524387774936984	0.002	0.0585776506027014	0.002	0.0439697975615856	0.002	0.0502835057121468	0.001
Chemerin	0.431141476424867	0.001	0.428686128591787	0.001	0.367475271256685	0.001	0.376077050615621	0.001
crc_baxter	0.00652191745654173	0.003	0.00625126513275595	0.005	0.0055765718073815	0.003	0.00564526935581744	0.003
crc_zeller	0.0185197060991465	0.001	0.0171402101553203	0.001	0.0163081745890095	0.001	0.0156203622979426	0.001
edd_singh	0.0711019462728914	0.001	0.0699810048001066	0.001	0.0608740763961222	0.001	0.0589073038909859	0.001
Exercise	0.0179936756213328	0.039	0.0176292820420758	0.044	0.0174263465050254	0.031	0.0174080319949745	0.031
glass_plastic_oberbeckmann	0.0885059627297402	0.002	0.0871745849248641	0.006	0.075732347035947	0.003	0.0807851312295007	0.002
GWMC_ASIA_NA	0.0674603629148846	0.001	0.0659804933722939	0.001	0.05394252312387	0.001	0.052586984757971	0.001
GWMC_HOT_COLD	0.0262420613133043	0.001	0.0256458743321881	0.001	0.0218820845319328	0.001	0.0216192854368454	0.001
hiv_dinh	0.0472191349308132	0.365	0.0504000975504559	0.246	0.0346830390485636	0.437	0.0389113300145299	0.171
hiv_lozupone	0.0634896981436903	0.093	0.0639318628750018	0.038	0.060723774609126	0.053	0.0701932722924571	0.005
hiv_noguerajulian	0.0179940301753056	0.001	0.0160390388935053	0.001	0.0149218759182206	0.001	0.0148919856837446	0.001
ibd_gevers	0.0187338461457287	0.002	0.017702902922383	0.002	0.0149578304895623	0.001	0.0135320487590814	0.001
ibd_papa	0.0748332988846814	0.185	0.0716422170108597	0.239	0.0608473718284121	0.05	0.0576487000814562	0.047
Ji_WTP_DS	0.315499442135693	0.001	0.312719524275217	0.001	0.252316295920156	0.001	0.25828174892952	0.001
MALL	0.102178680562977	0.001	0.098440028547477	0.001	0.0732203266918138	0.001	0.0740838459997038	0.001
ob_goodrich	0.00597913360766927	0.001	0.00582601661747585	0.001	0.00448856604165553	0.001	0.00481872395166033	0.001
ob_ross	0.0199826499287357	0.677	0.0207673957419119	0.576	0.0185682894609536	0.634	0.0179379423666287	0.754
ob_turnbaugh	0.0441659858515161	0.001	0.0406018931215271	0.001	0.0260430642537702	0.001	0.0204564006567571	0.001
ob_zhu	0.0790279278571828	0.001	0.0745749547788973	0.002	0.0627735887772468	0.002	0.0594163144109	0.001
Office	0.00943658926456931	0.001	0.0103017107149803	0.001	0.00327291734097775	0.001	0.0038051998499933	0.001
par_scheperjans	0.0319529957827855	0.739	0.0312989817633516	0.817	0.0116310509030206	0.009	0.0116752020126558	0.011
sed_plastic_hoellein	0.0988349546676057	0.005	0.0909266147413382	0.003	0.0960070521610969	0.002	0.0889588771898027	0.001
sed_plastic_rosato	0.212548085683567	0.001	0.208454740929283	0.001	0.195400963026763	0.001	0.19977823397974	0.001
seston_plastic_mccormick	0.0767979477771775	0.001	0.0762327125086603	0.001	0.0708130130257204	0.001	0.070002727958991	0.001
sw_plastic_frere	0.146934355134702	0.001	0.170294760515622	0.001	0.0975763278489827	0.001	0.140586375883642	0.001
sw_sed_detender	0.311131297024804	0.001	0.316494438833168	0.001	0.233368291916124	0.001	0.256049793952969	0.001
t1d_alkanani	0.136120580660059	0.031	0.133970455768121	0.027	0.0138413204515799	0.08	0.0142518645726207	0.002
t1d_mejialeon	0.0888557538984517	0.001	0.0883037823917124	0.001	0.0663230678240696	0.003	0.0623055239681937	0.007
wood_plastic_kesy	0.0363915516983625	0.005	0.0389304152972254	0.002	0.0413541034229947	0.002	0.0386437419800718	0.003
