,Built - Office,Freshwater - Arctic,Freshwater - Treat.,Human - ALL,Human - ASD,Human - CC (1),Human - CC (2),Human - CD (1),Human - CD (2),Human - C. diff (1),Human - C. diff (2),Human - HIV (1),Human - HIV (2),Human - HIV (3),Human - IBD,Human - Inf.,Human - OB (1),Human - OB (2),Human - OB (3),Human - OB (4),Human - Par.,Human - RA,Human - T1D (1),Human - T1D (2),Marine - Plastic (1),Marine - Plastic (2),Marine - Plastic (3),Marine - Plastic (4),Marine - Plastic (5),Marine - Sediment,Mouse - Exercised,Mouse Facilities,River - Plastic,Soil - Arctic,Soil - Blueberry,Soil - Fires,WWSR - Continents,WWSR - Temp.
ALDEx2,1,497,76,0,0,0,0,0,0,98,0,0,0,0,0,45,2,0,0,0,0,0,0,0,374,1,28,3,255,563,0,206,65,703,0,264,2857,1391
ANCOM-II,2,227,33,3,0,4,61,1,26,103,1,0,2,34,0,17,68,1,4,19,2,0,0,1,515,16,8,4,64,266,1,141,65,483,22,198,1261,712
corncob,31,3421,41,34,4,75,399,0,247,335,19,6,4,98,3,208,488,5,2,60,3,6,0,25,508,82,48,8,376,1866,0,86,258,1930,2,1014,14477,12088
DESeq2,49,1138,128,28,0,11,178,7,1,248,19,0,30,24,1,80,178,0,1,56,2,7,1,0,789,18,53,6,359,626,0,335,384,2097,0,1099,5598,4102
edgeR,2642,3367,281,477,207,688,2859,318,247,459,172,104,89,682,173,353,1040,174,321,342,311,198,331,49,2983,449,313,98,619,3972,36,564,1665,6285,374,3904,10053,8867
LEfSe,1086,10208,248,100,96,232,1676,32,743,958,73,37,123,1057,206,478,2104,32,525,232,140,87,2338,59,755,382,184,147,494,3180,85,702,636,4730,783,4882,21735,16749
limma voom (TMM),74810,168601,3664,576,0,12,12559,1,1,1596,0,0,10,3,0,175,1364,1,2874,0,32,23,0,131,1130,4,1556,8,1155,7455,3,1120,665,113899,0,18487,85744,80902
limma voom (TMMwsp),74769,167750,1817,74,0,9,18,0,3,3312,395,0,0,10726,24,1198,331,0,4310,1334,1,0,0,67,16246,3476,2063,29,503,8187,0,1206,7188,113058,24,35073,81686,90461
MaAsLin2,86,4998,110,0,0,1,0,0,438,1045,0,0,0,46,1,367,75,0,0,58,0,0,0,12,620,18,43,13,472,6049,0,653,191,4466,23,1203,16781,12210
MaAsLin2 (rare),82,3063,113,0,0,0,0,0,178,359,0,0,0,1,1,301,5,0,0,0,0,4,0,8,248,0,19,12,306,3096,0,510,62,1321,11,1075,15684,12656
metagenomeSeq,50,2919,94,9,0,7,6,0,28,230,0,0,2,3,8,67,75,0,0,0,0,0,0,3,773,24,43,14,596,3465,0,636,244,4360,11,1666,16194,11955
t-test (rare),24,1789,30,0,0,0,0,0,6,250,0,0,4,1,0,18,4,0,0,0,0,0,0,0,81,0,13,0,162,322,0,365,14,690,1,651,14119,10720
Wilcoxon (CLR),7,168418,3679,2,0,0,1,0,0,3298,0,0,0,0,0,1242,18,0,4744,1,0,0,0,0,18539,3638,2746,0,478,8712,0,956,8563,1475,0,36322,87799,4829
Wilcoxon (rare),105,3550,136,0,0,4,0,0,174,494,0,0,0,0,0,340,7,0,0,0,0,0,0,3,263,0,14,7,301,3098,0,533,80,1535,1,1431,16305,12841
