,variable,Score,value,Method_clean,Total_Hits
1,aldex2,1,0,ALDEx2,10323
2,ancom,1,0,ANCOM-II,3758
3,corncob,1,0.708443727681143,corncob,17362
4,deseq2,1,0.303516206620089,DESeq2,17462
5,edger,1,8.50749854147363,edgeR,29139
6,lefse,1,7.55572506144589,LEfSe,23598
7,limma_voom_TMM,1,8.48282931829831,limma voom (TMM),23412
8,limma_voom_TMMwsp,1,11.1209214592447,limma voom (TMMwsp),24917
9,maaslin2,1,0.61967083085465,MaAsLin2,20172
10,maaslin2rare,1,0,MaAsLin2 (rare),17193
11,metagenomeSeq,1,0.49083215796897,metagenomeSeq,17725
12,ttestrare,1,2.34496124031008,t-test (rare),15480
13,wilcoxonclr,1,10.8726278279606,Wilcoxon (CLR),24134
14,wilcoxonrare,1,0,Wilcoxon (rare),17471
15,aldex2,2,0.0678097452291001,ALDEx2,10323
16,ancom,2,0.532197977647685,ANCOM-II,3758
17,corncob,2,3.24847367814768,corncob,17362
18,deseq2,2,5.18268239606002,DESeq2,17462
19,edger,2,12.2859398057586,edgeR,29139
20,lefse,2,5.73353674040173,LEfSe,23598
21,limma_voom_TMM,2,6.07807961729028,limma voom (TMM),23412
22,limma_voom_TMMwsp,2,9.25071236505197,limma voom (TMMwsp),24917
23,maaslin2,2,1.42772159428911,MaAsLin2,20172
24,maaslin2rare,2,0.0639795265515035,MaAsLin2 (rare),17193
25,metagenomeSeq,2,1.08885754583921,metagenomeSeq,17725
26,ttestrare,2,0.833333333333333,t-test (rare),15480
27,wilcoxonclr,2,12.9361067373829,Wilcoxon (CLR),24134
28,wilcoxonrare,2,0.228950832808654,Wilcoxon (rare),17471
29,aldex2,3,0.0581226387678001,ALDEx2,10323
30,ancom,3,0.957956359765833,ANCOM-II,3758
31,corncob,3,4.56168644165419,corncob,17362
32,deseq2,3,3.26995762226549,DESeq2,17462
33,edger,3,7.24115446652253,edgeR,29139
34,lefse,3,3.61047546402237,LEfSe,23598
35,limma_voom_TMM,3,6.56928071074663,limma voom (TMM),23412
36,limma_voom_TMMwsp,3,7.06746398041498,limma voom (TMMwsp),24917
37,maaslin2,3,2.04739242514376,MaAsLin2,20172
38,maaslin2rare,3,0.337346594544291,MaAsLin2 (rare),17193
39,metagenomeSeq,3,3.43582510578279,metagenomeSeq,17725
40,ttestrare,3,0.704134366925065,t-test (rare),15480
41,wilcoxonclr,3,8.08403082787768,Wilcoxon (CLR),24134
42,wilcoxonrare,3,0.978764810256997,Wilcoxon (rare),17471
43,aldex2,4,0.2228034486099,ALDEx2,10323
44,ancom,4,0.718467269824375,ANCOM-II,3758
45,corncob,4,4.12394885381868,corncob,17362
46,deseq2,4,2.5197571870347,DESeq2,17462
47,edger,4,5.35021792099935,edgeR,29139
48,lefse,4,3.86049665225867,LEfSe,23598
