,aldex2,ancom,corncob,deseq2,edger,lefse,maaslin2,maaslin2rare,metagenomeSeq,ttestrare,wilcoxonclr,wilcoxonrare,limma_voom_TMM,limma_voom_TMMwsp
aldex2,0,0.653610719334591,0.82171359417884,0.687588348191493,0.935881887528599,0.930639920227192,0.548451561472352,0.492793824801729,0.627973346324009,0.467961636605744,0.528014131512653,0.441310268283626,0.776366292322526,0.763182036891239
ancom,0.653610719334591,0,0.855799840746741,0.751785723923155,0.924271845824767,0.900457391145133,0.753879953202304,0.783031487026739,0.758323561763372,0.727503313578546,0.764207230455937,0.712776488298929,0.75572080954558,0.811838180276034
corncob,0.82171359417884,0.855799840746741,0,0.680550006822091,0.766383773826462,0.77494816987935,0.67308241407998,0.714978086906774,0.75200011526435,0.803567403264554,0.83440863404433,0.733116586126448,0.823601128240069,0.798099597646478
deseq2,0.687588348191493,0.751785723923155,0.680550006822091,0,0.784211682181846,0.770167961066634,0.686375701061746,0.710839651048982,0.709983790046811,0.726502904750098,0.729101925770524,0.674182059878054,0.711065192431327,0.734547614751356
edger,0.935881887528599,0.924271845824767,0.766383773826462,0.784211682181846,0,0.743054554629589,0.846770476320111,0.862903024494911,0.869122866333991,0.923843743660702,0.929891945454522,0.86100355800756,0.908621732022603,0.92037967587121
lefse,0.930639920227192,0.900457391145133,0.77494816987935,0.770167961066634,0.743054554629589,0,0.778966196383895,0.812591474857621,0.850427013571048,0.922512893338888,0.917235518145743,0.799953145602077,0.877361725577742,0.885193599309762
maaslin2,0.548451561472352,0.753879953202304,0.67308241407998,0.686375701061746,0.846770476320111,0.778966196383895,0,0.354434935541916,0.506205164903192,0.581666277215011,0.659231590397181,0.389105840512882,0.80778615607143,0.71139370115085
maaslin2rare,0.492793824801729,0.783031487026739,0.714978086906774,0.710839651048982,0.862903024494911,0.812591474857621,0.354434935541916,0,0.55843538182183,0.498122302567054,0.670665319600018,0.249637516347325,0.798109054542588,0.759276617288047
metagenomeSeq,0.627973346324009,0.758323561763372,0.75200011526435,0.709983790046811,0.869122866333991,0.850427013571048,0.506205164903192,0.55843538182183,0,0.621884291854078,0.696150050660727,0.533943116368689,0.783856317885264,0.737895184336967
ttestrare,0.467961636605744,0.727503313578546,0.803567403264554,0.726502904750098,0.923843743660702,0.922512893338888,0.581666277215011,0.498122302567054,0.621884291854078,0,0.610996085540271,0.484944900572226,0.794464707808094,0.781706757489883
wilcoxonclr,0.528014131512653,0.764207230455937,0.83440863404433,0.729101925770524,0.929891945454522,0.917235518145743,0.659231590397181,0.670665319600018,0.696150050660727,0.610996085540271,0,0.616081150579817,0.658743289873298,0.477892685293326
wilcoxonrare,0.441310268283626,0.712776488298929,0.733116586126448,0.674182059878054,0.86100355800756,0.799953145602077,0.389105840512882,0.249637516347325,0.533943116368689,0.484944900572226,0.616081150579817,0,0.759870397232091,0.721211397881617
limma_voom_TMM,0.776366292322526,0.75572080954558,0.823601128240069,0.711065192431327,0.908621732022603,0.877361725577742,0.80778615607143,0.798109054542588,0.783856317885264,0.794464707808094,0.658743289873298,0.759870397232091,0,0.619710504920165
limma_voom_TMMwsp,0.763182036891239,0.811838180276034,0.798099597646478,0.734547614751356,0.92037967587121,0.885193599309762,0.71139370115085,0.759276617288047,0.737895184336967,0.781706757489883,0.477892685293326,0.721211397881617,0.619710504920165,0
