genus,aldex2,ancom,corncob,deseq2,edger,lefse,limma_voom_TMM,limma_voom_TMMwsp,maaslin2,maaslin2rare,metagenomeSeq,ttestrare,wilcoxonclr,wilcoxonrare
Methanobrevibacter,0,0,1,0,1,1,0,1,1,1,0,1,1,1
Actinomyces,2,0,3,2,4,2,2,3,2,2,2,2,3,2
Bifidobacterium,1,0,2,2,3,3,2,2,1,1,2,0,1,1
Bacteroides,2,1,2,3,2,2,2,2,2,2,2,2,2,2
Barnesiella,2,0,2,2,3,2,2,2,2,2,2,2,1,2
Butyricimonas,1,0,2,1,3,3,1,1,2,2,1,2,0,2
Odoribacter,1,0,0,1,2,3,2,2,2,2,1,1,2,2
Parabacteroides,2,0,1,1,2,4,3,3,3,3,2,2,2,3
Paraprevotella,1,0,1,0,1,1,0,1,1,1,0,0,2,1
Prevotella,1,1,3,2,3,3,2,1,2,2,1,2,3,2
Alistipes,2,2,2,2,2,3,3,3,2,2,2,2,3,2
Enterococcus,2,1,4,3,4,5,3,3,2,2,3,2,2,3
Tetragenococcus,2,0,2,2,3,2,2,2,2,2,2,1,2,2
Lactobacillus,1,1,3,3,3,1,1,1,2,2,2,2,2,1
Lactococcus,1,0,0,0,2,0,1,1,0,0,1,0,2,0
Streptococcus,3,2,3,4,3,3,3,3,3,3,3,3,3,3
Clostridium_sensu_stricto,2,0,4,3,5,2,2,3,2,2,3,1,3,1
Sarcina,1,0,1,1,2,1,2,2,1,1,2,1,1,1
Anaerovorax,1,0,2,2,2,3,2,1,2,2,0,1,1,2
Eubacterium,0,0,2,0,2,2,0,1,2,2,0,2,2,2
Anaerostipes,2,0,2,2,5,4,3,3,3,3,2,2,2,3
Blautia,3,0,3,2,3,3,2,2,3,3,3,3,2,2
Clostridium_XlVa,1,0,0,1,1,2,1,1,0,0,0,0,1,1
Clostridium_XlVb,0,0,0,0,1,2,0,0,1,0,0,0,0,2
Coprococcus,2,0,1,2,2,3,2,2,2,2,0,1,3,2
Dorea,2,0,0,1,0,4,2,2,2,2,0,0,1,4
Roseburia,2,0,1,1,3,3,2,3,2,2,1,1,2,3
Ruminococcus2,1,0,0,0,2,2,2,2,0,0,0,0,1,2
Syntrophococcus,0,0,0,0,0,1,0,1,1,1,1,1,1,1
Clostridium_XI,1,0,1,1,1,2,2,1,2,2,1,1,1,2
Anaerofilum,0,0,0,0,0,1,0,1,1,0,0,0,1,1
Butyricicoccus,1,0,1,0,1,2,3,3,2,1,0,1,2,2
Clostridium_IV,2,1,2,2,2,2,2,2,2,2,2,2,2,2
Ethanoligenens,1,0,1,2,2,2,1,1,2,2,1,1,1,2
Faecalibacterium,3,3,2,2,2,4,4,4,3,3,2,2,3,4
Flavonifractor,1,0,1,2,3,3,2,2,3,3,2,1,1,3
Gemmiger,1,0,0,1,2,1,1,1,1,1,0,0,1,1
Oscillibacter,2,1,1,2,2,2,2,2,2,2,2,1,2,2
Ruminococcus,2,0,3,3,3,3,3,3,3,3,3,3,2,3
Sporobacter,1,0,1,1,2,1,1,2,2,2,1,2,2,2
Clostridium_XVIII,1,0,2,2,3,0,0,0,1,1,2,1,0,0
Coprobacillus,0,0,1,1,2,2,0,0,1,0,0,0,1,2
Turicibacter,0,0,0,0,1,3,0,0,1,0,0,0,2,2
Dialister,1,0,1,1,2,2,1,1,2,2,2,1,2,2
Veillonella,3,2,2,2,2,2,2,2,2,2,2,2,3,2
Fusobacterium,3,0,5,4,5,4,3,3,2,2,2,3,3,3
Oxalobacter,0,0,0,0,2,1,0,1,1,1,1,1,1,1
Parasutterella,2,0,1,1,3,2,2,2,2,2,2,2,1,2
Sutterella,0,0,2,1,3,1,0,0,1,2,1,1,2,1
Bilophila,0,0,0,0,2,0,1,1,0,0,1,0,2,0
