,Var1,Var2,value,type
1,ArcticFireSoils,ALDEx2,0.355748373101952,Recall
2,ArcticFreshwaters,ALDEx2,1,Recall
3,ArcticTransects,ALDEx2,0.98030303030303,Recall
4,art_scher,ALDEx2,0,Recall
5,asd_son,ALDEx2,0,Recall
6,BISCUIT,ALDEx2,0,Recall
7,Blueberry,ALDEx2,0,Recall
8,cdi_schubert,ALDEx2,0.157647058823529,Recall
9,cdi_vincent,ALDEx2,0,Recall
10,Chemerin,ALDEx2,0.953917050691244,Recall
12,crc_zeller,ALDEx2,0,Recall
13,edd_singh,ALDEx2,0.369047619047619,Recall
14,Exercise,ALDEx2,0,Recall
15,glass_plastic_oberbeckmann,ALDEx2,0.020746887966805,Recall
16,GWMC_ASIA_NA,ALDEx2,0.931155192532089,Recall
17,GWMC_HOT_COLD,ALDEx2,1,Recall
18,hiv_dinh,ALDEx2,0,Recall
19,hiv_lozupone,ALDEx2,0,Recall
20,hiv_noguerajulian,ALDEx2,0,Recall
21,ibd_gevers,ALDEx2,0,Recall
22,ibd_papa,ALDEx2,0,Recall
23,Ji_WTP_DS,ALDEx2,0.601351351351351,Recall
24,MALL,ALDEx2,0.0166666666666667,Recall
26,ob_ross,ALDEx2,0,Recall
27,ob_turnbaugh,ALDEx2,0,Recall
28,ob_zhu,ALDEx2,0.0122249388753056,Recall
30,par_scheperjans,ALDEx2,0,Recall
31,sed_plastic_hoellein,ALDEx2,0.00411946446961895,Recall
32,sed_plastic_rosato,ALDEx2,0.375346260387812,Recall
33,seston_plastic_mccormick,ALDEx2,0.0720338983050847,Recall
34,sw_plastic_frere,ALDEx2,0.142764438676184,Recall
35,sw_sed_detender,ALDEx2,0.582326283987915,Recall
36,t1d_alkanani,ALDEx2,0,Recall
37,t1d_mejialeon,ALDEx2,0.00847457627118644,Recall
38,wood_plastic_kesy,ALDEx2,0.16504854368932,Recall
39,ArcticFireSoils,ANCOM-II,0.167028199566161,Recall
40,ArcticFreshwaters,ANCOM-II,0.318181818181818,Recall
41,ArcticTransects,ANCOM-II,0.504545454545455,Recall
42,art_scher,ANCOM-II,0,Recall
43,asd_son,ANCOM-II,0,Recall
44,BISCUIT,ANCOM-II,0.0714285714285714,Recall
45,Blueberry,ANCOM-II,0.137614678899083,Recall
46,cdi_schubert,ANCOM-II,0.157647058823529,Recall
47,cdi_vincent,ANCOM-II,0.03125,Recall
48,Chemerin,ANCOM-II,0.640552995391705,Recall
50,crc_zeller,ANCOM-II,0.583333333333333,Recall
51,edd_singh,ANCOM-II,0.178571428571429,Recall
52,Exercise,ANCOM-II,1,Recall
53,glass_plastic_oberbeckmann,ANCOM-II,0.016597510373444,Recall
54,GWMC_ASIA_NA,ANCOM-II,0.405484247374562,Recall
55,GWMC_HOT_COLD,ANCOM-II,0.984771573604061,Recall
56,hiv_dinh,ANCOM-II,0,Recall
57,hiv_lozupone,ANCOM-II,0.00380228136882129,Recall
58,hiv_noguerajulian,ANCOM-II,0.166666666666667,Recall
59,ibd_gevers,ANCOM-II,0.0583090379008746,Recall
60,ibd_papa,ANCOM-II,0,Recall
61,Ji_WTP_DS,ANCOM-II,0.182432432432432,Recall
62,MALL,ANCOM-II,0.0166666666666667,Recall
64,ob_ross,ANCOM-II,0,Recall
65,ob_turnbaugh,ANCOM-II,0.0239043824701195,Recall
66,ob_zhu,ANCOM-II,0.0440097799511002,Recall
68,par_scheperjans,ANCOM-II,0,Recall
69,sed_plastic_hoellein,ANCOM-II,0.0133882595262616,Recall
70,sed_plastic_rosato,ANCOM-II,0.0775623268698061,Recall
71,seston_plastic_mccormick,ANCOM-II,0.0529661016949153,Recall
72,sw_plastic_frere,ANCOM-II,0.140168721609345,Recall
73,sw_sed_detender,ANCOM-II,0.1797583081571,Recall
74,t1d_alkanani,ANCOM-II,0,Recall
75,t1d_mejialeon,ANCOM-II,0.00847457627118644,Recall
76,wood_plastic_kesy,ANCOM-II,0.0388349514563107,Recall
77,ArcticFireSoils,corncob,0.323210412147505,Recall
78,ArcticFreshwaters,corncob,0.977272727272727,Recall
79,ArcticTransects,corncob,0.842424242424242,Recall
80,art_scher,corncob,0.15,Recall
81,asd_son,corncob,0,Recall
82,BISCUIT,corncob,0,Recall
83,Blueberry,corncob,0.055045871559633,Recall
84,cdi_schubert,corncob,0.36,Recall
85,cdi_vincent,corncob,0.0625,Recall
86,Chemerin,corncob,0.262672811059908,Recall
88,crc_zeller,corncob,0.666666666666667,Recall
89,edd_singh,corncob,0.404761904761905,Recall
90,Exercise,corncob,0,Recall
91,glass_plastic_oberbeckmann,corncob,0.033195020746888,Recall
92,GWMC_ASIA_NA,corncob,0.936989498249708,Recall
93,GWMC_HOT_COLD,corncob,0.984771573604061,Recall
