"";"Var1";"Var2";"value";"type"
"1";"ArcticFireSoils";"ALDEx2";1;"Recall"
"10";"Chemerin";"ALDEx2";1;"Recall"
"15";"glass_plastic_oberbeckmann";"ALDEx2";0,833333333333333;"Recall"
"16";"GWMC_ASIA_NA";"ALDEx2";1;"Recall"
"19";"hiv_lozupone";"ALDEx2";0;"Recall"
"22";"ibd_papa";"ALDEx2";0;"Recall"
"23";"Ji_WTP_DS";"ALDEx2";1;"Recall"
"31";"sed_plastic_hoellein";"ALDEx2";1;"Recall"
"32";"sed_plastic_rosato";"ALDEx2";1;"Recall"
"33";"seston_plastic_mccormick";"ALDEx2";1;"Recall"
"34";"sw_plastic_frere";"ALDEx2";1;"Recall"
"35";"sw_sed_detender";"ALDEx2";1;"Recall"
"36";"t1d_alkanani";"ALDEx2";0;"Recall"
"37";"t1d_mejialeon";"ALDEx2";0,333333333333333;"Recall"
"38";"wood_plastic_kesy";"ALDEx2";1;"Recall"
"39";"ArcticFireSoils";"ANCOM-II";1;"Recall"
"48";"Chemerin";"ANCOM-II";0,989473684210526;"Recall"
"53";"glass_plastic_oberbeckmann";"ANCOM-II";0,666666666666667;"Recall"
"54";"GWMC_ASIA_NA";"ANCOM-II";1;"Recall"
"57";"hiv_lozupone";"ANCOM-II";0,111111111111111;"Recall"
"60";"ibd_papa";"ANCOM-II";0;"Recall"
"61";"Ji_WTP_DS";"ANCOM-II";0,863636363636364;"Recall"
"69";"sed_plastic_hoellein";"ANCOM-II";1;"Recall"
"70";"sed_plastic_rosato";"ANCOM-II";0,392523364485981;"Recall"
"71";"seston_plastic_mccormick";"ANCOM-II";1;"Recall"
"72";"sw_plastic_frere";"ANCOM-II";0,990566037735849;"Recall"
"73";"sw_sed_detender";"ANCOM-II";0,767857142857143;"Recall"
"74";"t1d_alkanani";"ANCOM-II";0;"Recall"
"75";"t1d_mejialeon";"ANCOM-II";0,333333333333333;"Recall"
"76";"wood_plastic_kesy";"ANCOM-II";1;"Recall"
"77";"ArcticFireSoils";"corncob";1;"Recall"
"86";"Chemerin";"corncob";0,189473684210526;"Recall"
"91";"glass_plastic_oberbeckmann";"corncob";0,833333333333333;"Recall"
"92";"GWMC_ASIA_NA";"corncob";1;"Recall"
"95";"hiv_lozupone";"corncob";0,444444444444444;"Recall"
"98";"ibd_papa";"corncob";0;"Recall"
"99";"Ji_WTP_DS";"corncob";0,454545454545455;"Recall"
"107";"sed_plastic_hoellein";"corncob";0;"Recall"
"108";"sed_plastic_rosato";"corncob";0,97196261682243;"Recall"
"109";"seston_plastic_mccormick";"corncob";0,666666666666667;"Recall"
"110";"sw_plastic_frere";"corncob";0,55188679245283;"Recall"
"111";"sw_sed_detender";"corncob";0,744047619047619;"Recall"
"112";"t1d_alkanani";"corncob";0,933333333333333;"Recall"
"113";"t1d_mejialeon";"corncob";1;"Recall"
"114";"wood_plastic_kesy";"corncob";1;"Recall"
"115";"ArcticFireSoils";"DESeq2";1;"Recall"
"124";"Chemerin";"DESeq2";1;"Recall"
"129";"glass_plastic_oberbeckmann";"DESeq2";0,833333333333333;"Recall"
"130";"GWMC_ASIA_NA";"DESeq2";1;"Recall"
