genus,aldex2,ancom,corncob,deseq2,edger,lefse,limma_voom_TMM,limma_voom_TMMwsp,maaslin2,maaslin2rare,metagenomeSeq,ttestrare,wilcoxonclr,wilcoxonrare
k__Archaea___p__Euryarchaeota___c__Methanobacteria___o__Methanobacteriales___f__Methanobacteriaceae___g__Methanobrevibacter,0,0,0,1,1,1,1,1,0,0,1,0,0,1
k__Bacteria___p__Actinobacteria___c__Actinobacteria___o__Actinomycetales___f__Actinomycetaceae___g__Actinomyces,0,0,0,0,1,0,1,1,0,0,0,0,0,0
k__Bacteria___p__Actinobacteria___c__Actinobacteria___o__Actinomycetales___f__Corynebacteriaceae___g__Corynebacterium,0,0,0,1,0,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Actinobacteria___c__Actinobacteria___o__Actinomycetales___f__Micrococcaceae___g__Rothia,0,0,0,0,0,0,0,0,0,0,0,0,1,0
k__Bacteria___p__Actinobacteria___c__Actinobacteria___o__Bifidobacteriales___f__Bifidobacteriaceae___g__Bifidobacterium,1,0,0,0,0,1,2,2,0,0,0,0,2,0
k__Bacteria___p__Actinobacteria___c__Actinobacteria___o__Coriobacteriales___f__Coriobacteriaceae___g__Atopobium,0,0,1,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Actinobacteria___c__Actinobacteria___o__Coriobacteriales___f__Coriobacteriaceae___g__Collinsella,0,0,0,0,2,1,1,0,0,0,0,0,0,0
k__Bacteria___p__Actinobacteria___c__Actinobacteria___o__Coriobacteriales___f__Coriobacteriaceae___g__Enterorhabdus,0,0,0,0,1,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Actinobacteria___c__Actinobacteria___o__Coriobacteriales___f__Coriobacteriaceae___g__Gordonibacter,0,0,1,1,2,1,1,1,0,0,0,0,0,0
k__Bacteria___p__Actinobacteria___c__Actinobacteria___o__Coriobacteriales___f__Coriobacteriaceae___g__Slackia,0,0,0,0,1,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Bacteroidetes___c__Bacteroidia___o__Bacteroidales___f__Bacteroidaceae___g__Bacteroides,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Bacteroidetes___c__Bacteroidia___o__Bacteroidales___f__Marinilabiaceae___g__Anaerophaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria___p__Bacteroidetes___c__Bacteroidia___o__Bacteroidales___f__Porphyromonadaceae___g__Barnesiella,1,0,1,1,1,1,0,0,1,0,0,0,1,1
