"";"Soil - Fires";"Freshwater - Arctic";"Soil - Arctic";"Human - RA";"Human - ASD";"Human - CD (1)";"Soil - Blueberry";"Human - C. diff (1)";"Human - C. diff (2)";"Mouse Facilities";"Human - CC (1)";"Human - CC (2)";"Human - Inf.";"Mouse - Exercised";"Marine - Plastic (4)";"WWSR - Continents";"WWSR - Temp.";"Human - HIV (1)";"Human - HIV (2)";"Human - HIV (3)";"Human - CD (2)";"Human - IBD";"Freshwater - Treat.";"Human - ALL";"Human - OB (1)";"Human - OB (2)";"Human - OB (3)";"Human - OB (4)";"Built - Office";"Human - Par.";"Marine - Plastic (2)";"Marine - Plastic (5)";"River - Plastic";"Marine - Plastic (1)";"Marine - Sediment";"Human - T1D (1)";"Human - T1D (2)";"Marine - Plastic (3)"
"ALDEx2";0,74;0,64;0,69;NA;NA;NA;NA;0,77;NA;0,84;NA;NA;0,75;NA;0,93;0,68;0,63;NA;NA;NA;NA;NA;0,86;0,92;0,61;NA;NA;0,85;0,58;NA;0,95;0,9;0,77;0,97;0,84;NA;0,95;0,78
"ANCOM-II";0,78;0,74;0,76;NA;NA;0,77;0,75;0,85;0,8;0,96;0,62;0,68;0,82;0,71;0,95;0,72;0,67;NA;0,97;0,67;0,73;NA;0,95;0,92;0,59;NA;0,77;0,85;0,59;NA;0,91;0,96;0,82;0,97;0,93;NA;0,95;0,88
"corncob";0,63;0,63;0,66;0,63;0,57;NA;0,75;0,76;0,61;0,72;0,54;0,6;0,65;NA;0,88;0,65;0,57;0,79;0,89;0,6;0,65;0,83;0,86;0,73;0,55;NA;0,7;0,69;0,54;0,64;0,77;0,83;0,65;0,74;0,64;0,86;0,8;0,73
"DESeq2";0,6;0,62;0,66;0,6;NA;0,66;0,75;0,67;0,65;0,74;0,59;0,64;0,64;NA;0,88;0,66;0,57;NA;0,79;0,64;0,75;NA;0,74;0,71;0,56;NA;0,76;0,8;0,55;NA;0,84;0,87;0,62;0,63;0,82;NA;0,9;0,78
"edgeR";0,62;0,61;0,64;0,6;0,55;0,63;0,64;0,72;0,61;0,71;0,53;0,59;0,66;0,6;0,66;0,65;0,57;0,61;0,79;0,59;0,63;0,72;0,73;0,62;0,54;0,61;0,62;0,7;0,53;0,56;0,7;0,81;0,67;0,69;0,77;NA;0,79;0,64
"LEfSe";0,61;0,61;0,65;0,66;0,55;0,68;0,65;0,74;0,62;0,73;0,56;0,6;0,64;0,64;0,66;0,65;0,58;0,8;0,87;0,57;0,59;0,75;0,71;0,73;0,54;0,62;0,6;0,65;0,55;0,68;0,67;0,83;0,63;0,91;0,71;0,82;0,8;0,66
"limma voom (TMM)";0,61;0,59;0,64;0,58;NA;0,73;0,71;0,72;NA;0,78;0,57;0,57;0,68;NA;0,88;0,66;0,55;NA;0,79;0,69;0,6;NA;0,72;0,57;0,54;NA;0,82;0,88;0,55;NA;0,95;0,78;0,64;0,78;0,81;NA;0,79;0,78
"limma voom (TMMwsp)";0,71;0,62;0,64;NA;NA;0,68;0,69;0,77;0,63;0,7;0,6;0,63;0,76;NA;0,78;0,64;0,58;NA;0,87;0,62;0,72;0,78;0,79;0,74;0,56;0,61;0,73;0,74;0,55;NA;0,85;0,83;0,78;0,87;0,8;NA;0,85;0,78
"MaAsLin2";0,61;0,61;0,65;0,75;NA;NA;0,73;0,75;NA;0,72;0,62;0,69;0,63;NA;0,76;0,66;0,58;NA;0,97;0,59;0,64;0,88;0,74;0,92;0,57;NA;NA;0,67;0,55;NA;0,71;0,83;0,61;0,95;0,72;NA;0,88;0,68
"MaAsLin2 (rare)";0,61;0,62;0,66;0,81;NA;NA;0,73;0,74;NA;0,75;0,61;NA;0,63;0,71;0,79;0,66;0,58;NA;0,97;0,61;0,62;0,88;0,74;NA;0,59;NA;NA;0,77;0,55;NA;0,72;0,85;0,67;0,99;0,71;NA;0,84;0,76
"metagenomeSeq";0,7;0,65;0,65;0,7;NA;NA;0,72;0,8;0,65;0,72;0,62;0,67;0,72;NA;0,68;0,66;0,59;NA;NA;NA;0,68;0,85;0,73;0,76;0,58;NA;NA;NA;0,56;NA;0,71;0,82;0,75;0,91;0,8;NA;0,86;0,74
"t-test (rare)";0,6;0,64;0,66;NA;NA;NA;NA;0,75;NA;0,72;NA;NA;0,75;NA;NA;0,66;0,56;NA;0,86;0,64;0,66;NA;0,8;NA;0,56;NA;NA;NA;0,56;NA;NA;0,9;0,64;0,74;0,84;NA;0,95;0,84
"Wilcoxon (CLR)";0,69;0,62;0,65;NA;NA;NA;NA;0,78;NA;0,74;0,66;0,76;0,71;NA;0,99;0,65;0,6;NA;NA;NA;NA;NA;0,84;0,92;0,6;NA;0,83;0,8;0,56;NA;0,84;0,82;0,74;0,78;0,81;NA;NA;0,72
"Wilcoxon (rare)";0,61;0,61;0,66;NA;NA;NA;0,74;0,74;NA;0,74;0,62;0,69;0,63;NA;0,81;0,66;0,59;NA;NA;0,62;0,64;NA;0,73;NA;0,59;NA;NA;0,79;0,56;NA;NA;0,85;0,64;0,99;0,71;NA;0,87;0,77
