"";"Consistancy";"variable";"Count";"Tool";"dataset"
"ArcticFireSoils.1";"1";"Count";0;"ALDEx2";"ArcticFireSoils"
"ArcticFireSoils.2";"2";"Count";1;"ALDEx2";"ArcticFireSoils"
"ArcticFireSoils.3";"3";"Count";2;"ALDEx2";"ArcticFireSoils"
"ArcticFireSoils.4";"4";"Count";3;"ALDEx2";"ArcticFireSoils"
"ArcticFireSoils.5";"5";"Count";1;"ALDEx2";"ArcticFireSoils"
"ArcticFireSoils.6";"6";"Count";2;"ALDEx2";"ArcticFireSoils"
"ArcticFireSoils.7";"7";"Count";1;"ALDEx2";"ArcticFireSoils"
"ArcticFireSoils.8";"8";"Count";5;"ALDEx2";"ArcticFireSoils"
"ArcticFireSoils.9";"9";"Count";2;"ALDEx2";"ArcticFireSoils"
"ArcticFireSoils.10";"10";"Count";2;"ALDEx2";"ArcticFireSoils"
"ArcticFireSoils.11";"11";"Count";1;"ALDEx2";"ArcticFireSoils"
"ArcticFireSoils.12";"12";"Count";0;"ALDEx2";"ArcticFireSoils"
"ArcticFireSoils.13";"13";"Count";0;"ALDEx2";"ArcticFireSoils"
"ArcticFireSoils.14";"14";"Count";0;"ALDEx2";"ArcticFireSoils"
"ArcticFireSoils.15";"1";"Count";7;"ANCOM-II";"ArcticFireSoils"
"ArcticFireSoils.16";"2";"Count";1;"ANCOM-II";"ArcticFireSoils"
"ArcticFireSoils.17";"3";"Count";0;"ANCOM-II";"ArcticFireSoils"
"ArcticFireSoils.18";"4";"Count";1;"ANCOM-II";"ArcticFireSoils"
"ArcticFireSoils.19";"5";"Count";1;"ANCOM-II";"ArcticFireSoils"
"ArcticFireSoils.20";"6";"Count";1;"ANCOM-II";"ArcticFireSoils"
"ArcticFireSoils.21";"7";"Count";2;"ANCOM-II";"ArcticFireSoils"
"ArcticFireSoils.22";"8";"Count";3;"ANCOM-II";"ArcticFireSoils"
"ArcticFireSoils.23";"9";"Count";1;"ANCOM-II";"ArcticFireSoils"
"ArcticFireSoils.24";"10";"Count";2;"ANCOM-II";"ArcticFireSoils"
"ArcticFireSoils.25";"11";"Count";1;"ANCOM-II";"ArcticFireSoils"
"ArcticFireSoils.26";"12";"Count";0;"ANCOM-II";"ArcticFireSoils"
"ArcticFireSoils.27";"13";"Count";0;"ANCOM-II";"ArcticFireSoils"
"ArcticFireSoils.28";"14";"Count";0;"ANCOM-II";"ArcticFireSoils"
"ArcticFireSoils.29";"1";"Count";6;"corncob";"ArcticFireSoils"
"ArcticFireSoils.30";"2";"Count";1;"corncob";"ArcticFireSoils"
"ArcticFireSoils.31";"3";"Count";1;"corncob";"ArcticFireSoils"
"ArcticFireSoils.32";"4";"Count";1;"corncob";"ArcticFireSoils"
"ArcticFireSoils.33";"5";"Count";0;"corncob";"ArcticFireSoils"
"ArcticFireSoils.34";"6";"Count";2;"corncob";"ArcticFireSoils"
"ArcticFireSoils.35";"7";"Count";1;"corncob";"ArcticFireSoils"
"ArcticFireSoils.36";"8";"Count";5;"corncob";"ArcticFireSoils"
"ArcticFireSoils.37";"9";"Count";2;"corncob";"ArcticFireSoils"
"ArcticFireSoils.38";"10";"Count";1;"corncob";"ArcticFireSoils"
"ArcticFireSoils.39";"11";"Count";0;"corncob";"ArcticFireSoils"
"ArcticFireSoils.40";"12";"Count";0;"corncob";"ArcticFireSoils"
"ArcticFireSoils.41";"13";"Count";0;"corncob";"ArcticFireSoils"
"ArcticFireSoils.42";"14";"Count";0;"corncob";"ArcticFireSoils"
"ArcticFireSoils.43";"1";"Count";19;"DESeq2";"ArcticFireSoils"
"ArcticFireSoils.44";"2";"Count";1;"DESeq2";"ArcticFireSoils"
